Name            Surname         Final (Avg.)     Final (Med.)
-------------------------------------------------------------
Name58921       Surname58921            3.80             6.80
Name58919       Surname58919            3.60             4.20
Name58918       Surname58918            3.80             1.40
Name58925       Surname58925            3.80             6.20
Name58926       Surname58926            3.60             4.80
Name58927       Surname58927            3.80             3.20
Name58928       Surname58928            4.20             6.60
Name58929       Surname58929            4.60             5.20
Name58930       Surname58930            3.20             1.40
Name58914       Surname58914            4.60             2.20
Name58932       Surname58932            4.60             2.20
Name58912       Surname58912            4.80             2.40
Name58910       Surname58910            4.60             4.00
Name58935       Surname58935            4.40             6.20
Name58909       Surname58909            4.40             6.80
Name58906       Surname58906            3.20             5.00
Name58905       Surname58905            4.00             2.20
Name58901       Surname58901            3.40             6.40
Name58940       Surname58940            4.80             7.20
Name58898       Surname58898            3.80             2.60
Name58942       Surname58942            4.80             6.00
Name58896       Surname58896            2.60             5.60
Name58894       Surname58894            3.20             2.00
Name58893       Surname58893            3.40             2.80
Name58890       Surname58890            4.40             3.80
Name58887       Surname58887            4.20             4.20
Name58883       Surname58883            2.20             2.20
Name58881       Surname58881            3.20             6.20
Name58878       Surname58878            4.20             7.20
Name58877       Surname58877            3.80             3.80
Name58876       Surname58876            4.80             4.80
Name58953       Surname58953            3.80             2.60
Name58873       Surname58873            2.80             2.80
Name58872       Surname58872            4.80             3.60
Name58956       Surname58956            3.60             3.60
Name58957       Surname58957            4.40             5.60
Name58869       Surname58869            4.60             5.20
Name58868       Surname58868            4.80             5.40
Name58960       Surname58960            4.80             3.60
Name58867       Surname58867            4.40             6.20
Name58862       Surname58862            3.40             5.80
Name58860       Surname58860            2.80             5.20
Name58964       Surname58964            4.60             3.40
Name58965       Surname58965            4.80             3.60
Name58859       Surname58859            4.20             6.00
Name58858       Surname58858            4.40             3.20
Name58856       Surname58856            2.80             2.20
Name58969       Surname58969            4.60             5.80
Name58855       Surname58855            4.20             3.60
Name58854       Surname58854            4.60             5.80
Name58852       Surname58852            4.80             4.20
Name58850       Surname58850            2.80             1.60
Name58974       Surname58974            4.20             4.80
Name58975       Surname58975            3.60             1.80
Name58844       Surname58844            4.00             2.20
Name58977       Surname58977            4.40             2.60
Name58978       Surname58978            2.80             4.60
Name58979       Surname58979            4.60             3.40
Name58841       Surname58841            3.60             4.20
Name58981       Surname58981            4.40             2.00
Name58982       Surname58982            4.60             5.20
Name58838       Surname58838            2.00             2.60
Name58837       Surname58837            3.80             1.40
Name58836       Surname58836            4.80             7.80
Name58986       Surname58986            2.00             1.40
Name58987       Surname58987            3.80             2.60
Name58833       Surname58833            4.80             6.00
Name58989       Surname58989            4.60             7.00
Name58990       Surname58990            4.40             7.40
Name58831       Surname58831            4.20             7.20
Name58992       Surname58992            3.20             4.40
Name58993       Surname58993            3.80             3.80
Name58994       Surname58994            4.40             3.20
Name58995       Surname58995            2.60             2.00
Name58830       Surname58830            4.80             5.40
Name58997       Surname58997            4.40             4.40
Name58828       Surname58828            2.20             2.20
Name58826       Surname58826            4.00             7.00
Name58825       Surname58825            2.80             3.40
Name59001       Surname59001            3.20             2.00
Name59002       Surname59002            3.40             2.80
Name59003       Surname59003            3.20             2.00
Name58823       Surname58823            4.40             2.60
Name58822       Surname58822            3.60             5.40
Name58820       Surname58820            4.80             7.20
Name58819       Surname58819            4.20             3.00
